N symbol name m Rcovalent Rvdw Tm Tb structure a b c alpha beta gamma cpk
1 H hydrogen 1.00794 0.31 1.2 14.01 20.28 hcp 4.7 4.7 3.4 90 90 120 ffffff
2 He helium 4.002602 0.28 1.4 0.95 4.22 ccp 4.24 4.24 4.24 90 90 90 d9ffff
3 Li lithium 6.941 1.28 1.82 453.69 1615 bcc 3.51 3.51 3.51 90 90 90 cc80ff
4 Be beryllium 9.012182 0.96 nodata 1560 2742 hcp 2.28 2.28 3.58 90 90 120 c2ff00
5 B boron 10.811 0.84 nodata 2349 4200 rhombohedral 5.06 5.06 5.06 58 58 58 ffb5b5
6 C carbon 12.0107 0.76 1.7 3800 4300 hcp 2.46 2.46 6.71 90 90 120 909090
7 N nitrogen 14.0067 0.71 1.55 63.05 77.36 hcp 3.86 3.86 6.26 90 90 120 3050f8
8 O oxygen 15.9994 0.66 1.52 54.8 90.2 monoclinic 5.4 3.42 5.08 90 132 90 ff0d0d
9 F fluorine 18.9984032 0.57 1.47 53.53 85.03 monoclinic 5.5 3.28 7.28 90 90 90 90e050
10 Ne neon 20.1797 0.58 1.54 24.56 27.07 ccp 4.42 4.42 4.42 90 90 90 b3e3f5
11 Na sodium 22.98976928 1.66 2.27 370.87 1156 bcc 4.29 4.29 4.29 90 90 90 ab5cf2
12 Mg magnesium 24.3050 1.41 1.73 923 1363 hcp 3.2 3.2 5.21 90 90 120 8aff00
13 Al aluminium 26.9815386 1.21 nodata 933.47 2792 ccp 4.04 4.04 4.04 90 90 90 bfa6a6
14 Si silicon 28.0855 1.11 2.1 1687 3173 diamond 5.43 5.43 5.43 90 90 90 f0c8a0
15 P phosphorus 30.973762 1.07 1.8 nodata 550 triclinic 11.45 5.5 11.26 71 90 71 ff8000
16 S sulfur 32.065 1.05 1.8 388.36 717.87 orthorhombic 10.43 12.84 24.36 90 90 90 ffff30
17 Cl chlorine 35.453 1.02 1.75 171.6 239.11 orthorhombic 6.22 4.45 8.17 90 90 90 1ff01f
18 Ar argon 39.948 1.06 1.88 83.8 87.3 ccp 5.25 5.25 5.25 90 90 90 80d1e3
19 K potassium 39.0983 2.03 2.75 336.53 1032 bcc 5.32 5.32 5.32 90 90 90 8f40d4
20 Ca calcium 40.078 1.76 nodata 1115 1757 ccp 5.58 5.58 5.58 90 90 90 3dff00
21 Sc scandium 44.955912 1.7 nodata 1814 3103 hcp 3.3 3.3 5.27 90 90 120 e6e6e6
22 Ti titanium 47.867 1.6 nodata 1941 3560 hcp 2.95 2.95 4.68 90 90 120 bfc2c7
23 V vanadium 50.9415 1.53 nodata 2183 3680 bcc 3.03 3.03 3.03 90 90 90 a6a6ab
